Parent,Child,Origin_time
199579,226376,27
100553,255315,27
669104,266628,27
128365,269227,27
490561,284642,27
830633,362476,27
837076,395153,27
348190,475094,27
349049,514686,27
538663,548904,27
217559,579572,27
760062,633277,27
116729,675574,27
191680,715798,27
349049,799816,27
679079,816055,27
723606,853549,27
830633,924576,27
615046,930350,27
687648,939111,27
59196,988809,27
66295,66294,28
86767,86766,28
100553,100550,28
107681,107683,28
116729,116727,28
199579,199582,28
213787,213788,28
276241,276239,28
276241,276240,28
319787,319786,28
319787,319788,28
348190,348192,28
351073,351072,28
362510,362511,28
367316,367317,28
367316,367318,28
397611,397610,28
723606,723608,28
834194,834195,28
837241,837238,28
367432,129441,28
491353,775031,28
772573,910165,28
217559,139,28
830633,1149,28
740547,5076,28
349049,5616,28
929900,20388,28
86767,25985,28
86767,55909,28
351073,58434,28
213787,85548,28
100553,100706,28
338313,146182,28
258298,147532,28
640131,187443,28
349049,254730,28
630520,280653,28
731803,319195,28
952269,365397,28
907441,380067,28
258298,420508,28
992157,515437,28
290867,537337,28
341853,550675,28
688239,583022,28
812497,644814,28
730821,648699,28
673538,664582,28
273263,668639,28
812497,690299,28
926870,728117,28
107681,744689,28
631638,768409,28
380603,783470,28
766399,794058,28
666651,810915,28
886040,821139,28
992157,827090,28
760062,850957,28
661829,853852,28
478495,873855,28
614100,877860,28
100553,906658,28
86767,978636,28
503973,5096,28
217559,6292,28
40336,27115,28
926870,97809,28
931557,136896,28
332267,138338,28
896584,138692,28
435436,179977,28
174420,193070,28
362510,210060,28
682775,253452,28
60199,258730,28
952269,285772,28
362510,315019,28
614100,329922,28
164119,339027,28
205082,344727,28
362510,354029,28
351073,372356,28
213787,395188,28
623998,396163,28
338313,443436,28
191680,456111,28
992157,467175,28
393620,489617,28
338313,494627,28
191680,537352,28
273263,539898,28
599933,626192,28
367432,640382,28
393620,682978,28
176616,690038,28
834194,694392,28
457891,700801,28
491353,720334,28
952266,744926,28
160538,754228,28
213787,754447,28
837253,769753,28
362510,928843,28
671908,944785,28
952266,996829,28
319787,999096,28
36467,36466,29
36467,36468,29
50959,50960,29
60199,60201,29
86767,86768,29
158032,158034,29
191680,191678,29
199579,199580,29
298596,298594,29
319691,319692,29
338313,338314,29
343235,343236,29
388965,388964,29
454059,454060,29
666651,666652,29
723606,723607,29
728035,728038,29
729466,729463,29
834194,834196,29
869155,869158,29
903431,903430,29
985076,985079,29
491353,265761,29
772573,281863,29
36467,876571,29
60199,488,29
109959,59265,29
615046,83460,29
760060,86270,29
290867,147046,29
713767,162101,29
50959,162829,29
351073,163907,29
869155,203878,29
350137,210191,29
454059,225930,29
983180,226038,29
331754,247997,29
869155,251239,29
991,288058,29
213787,300081,29
217559,320998,29
886040,354238,29
543162,361888,29
983180,367293,29
766399,378013,29
869155,428867,29
834985,441630,29
697374,446066,29
215121,467285,29
635598,495931,29
983180,498484,29
654078,519749,29
869155,533030,29
168894,539676,29
334235,566698,29
760060,599423,29
830633,644406,29
985076,671027,29
349049,683282,29
348190,687241,29
191680,700671,29
338313,799369,29
830633,829315,29
985076,873553,29
414454,931417,29
107681,933779,29
490561,970381,29
168581,971094,29
654078,985536,29
168894,998810,29
654078,59255,29
926870,68905,29
276241,95426,29
697374,139510,29
985076,146230,29
213787,150273,29
215121,228521,29
849302,244537,29
899216,271730,29
290867,272371,29
960959,274333,29
886040,283938,29
952266,317096,29
730821,370766,29
213787,374926,29
357372,398807,29
740547,405210,29
693648,424939,29
289923,460468,29
916134,572471,29
50959,587910,29
367432,603868,29
631638,626113,29
687647,645847,29
697374,650681,29
740547,688026,29
191680,718960,29
903431,789007,29
388965,863231,29
350138,921788,29
388965,924710,29
350138,945201,29
869155,977422,29
14966,14969,30
69323,69318,30
201916,201917,30
204139,204142,30
258297,258296,30
348190,348191,30
432396,432398,30
432396,432399,30
601503,601501,30
619484,619485,30
697374,697373,30
750179,750182,30
811230,811228,30
830633,830630,30
869155,869156,30
898299,898301,30
929377,929374,30
619484,131459,30
414509,262599,30
930350,401033,30
36467,481836,30
916134,636776,30
414509,879036,30
414509,944095,30
36467,968140,30
217559,40406,30
556259,57163,30
258298,97276,30
40390,123947,30
350138,165765,30
168894,176387,30
895243,188102,30
40390,223475,30
258298,241163,30
46534,251099,30
869155,274700,30
204139,285812,30
697374,321597,30
666651,326525,30
985076,354924,30
258298,391697,30
379859,395348,30
728035,397059,30
522324,398943,30
204139,415308,30
331754,429627,30
120425,535048,30
86767,547602,30
682775,565235,30
830633,636781,30
869155,647675,30
437424,649732,30
213787,677663,30
338312,701854,30
895243,737956,30
522324,756341,30
276241,758141,30
697374,798313,30
213787,808040,30
849426,819366,30
217559,843002,30
354029,850665,30
687647,878745,30
357372,888048,30
931557,899461,30
258298,905806,30
492034,918986,30
258297,919909,30
213787,75065,30
204139,85886,30
384814,98294,30
205080,128191,30
1269,178579,30
204139,205569,30
682775,231869,30
204139,234379,30
454059,276541,30
469673,283893,30
750179,329447,30
78913,337684,30
364538,353530,30
1149,379982,30
966633,393808,30
543162,412015,30
168529,425928,30
388965,427810,30
393620,434820,30
183633,452124,30
204139,463205,30
351073,465583,30
66294,489183,30
522322,495005,30
834194,533468,30
586876,533478,30
454059,544985,30
435436,602149,30
40390,614134,30
204139,627772,30
100553,645723,30
966633,646226,30
